"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.815,1,"SemgHandGenderCh2","svm"
"feasts",38,0.8,1,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.881666666666667,1,"SemgHandGenderCh2","svm"
"TSFEL",144,0.845,1,"SemgHandGenderCh2","svm"
"Kats",35,0.78,1,"SemgHandGenderCh2","svm"
"tsfresh",736,0.905,1,"SemgHandGenderCh2","svm"
"timegp",6,0.718333333333333,1,"SemgHandGenderCh2","svm"
"catch22",22,0.791666666666667,2,"SemgHandGenderCh2","svm"
"feasts",38,0.795,2,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.873333333333333,2,"SemgHandGenderCh2","svm"
"TSFEL",144,0.878333333333333,2,"SemgHandGenderCh2","svm"
"Kats",35,0.78,2,"SemgHandGenderCh2","svm"
"tsfresh",736,0.895,2,"SemgHandGenderCh2","svm"
"timegp",6,0.728333333333333,2,"SemgHandGenderCh2","svm"
"catch22",22,0.84,3,"SemgHandGenderCh2","svm"
"feasts",38,0.813333333333333,3,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.866666666666667,3,"SemgHandGenderCh2","svm"
"TSFEL",144,0.843333333333333,3,"SemgHandGenderCh2","svm"
"Kats",35,0.82,3,"SemgHandGenderCh2","svm"
"tsfresh",736,0.905,3,"SemgHandGenderCh2","svm"
"timegp",6,0.698333333333333,3,"SemgHandGenderCh2","svm"
"catch22",22,0.816666666666667,4,"SemgHandGenderCh2","svm"
"feasts",38,0.795,4,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.861666666666667,4,"SemgHandGenderCh2","svm"
"TSFEL",144,0.851666666666667,4,"SemgHandGenderCh2","svm"
"Kats",35,0.78,4,"SemgHandGenderCh2","svm"
"tsfresh",736,0.915,4,"SemgHandGenderCh2","svm"
"timegp",6,0.733333333333333,4,"SemgHandGenderCh2","svm"
"catch22",22,0.798333333333333,5,"SemgHandGenderCh2","svm"
"feasts",38,0.788333333333333,5,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.835,5,"SemgHandGenderCh2","svm"
"TSFEL",144,0.79,5,"SemgHandGenderCh2","svm"
"Kats",35,0.768333333333333,5,"SemgHandGenderCh2","svm"
"tsfresh",736,0.868333333333333,5,"SemgHandGenderCh2","svm"
"timegp",6,0.73,5,"SemgHandGenderCh2","svm"
"catch22",22,0.823333333333333,6,"SemgHandGenderCh2","svm"
"feasts",38,0.808333333333333,6,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.871666666666667,6,"SemgHandGenderCh2","svm"
"TSFEL",144,0.848333333333333,6,"SemgHandGenderCh2","svm"
"Kats",35,0.781666666666667,6,"SemgHandGenderCh2","svm"
"tsfresh",736,0.876666666666667,6,"SemgHandGenderCh2","svm"
"timegp",6,0.721666666666667,6,"SemgHandGenderCh2","svm"
"catch22",22,0.805,7,"SemgHandGenderCh2","svm"
"feasts",38,0.803333333333333,7,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.875,7,"SemgHandGenderCh2","svm"
"TSFEL",144,0.835,7,"SemgHandGenderCh2","svm"
"Kats",35,0.783333333333333,7,"SemgHandGenderCh2","svm"
"tsfresh",736,0.898333333333333,7,"SemgHandGenderCh2","svm"
"timegp",6,0.723333333333333,7,"SemgHandGenderCh2","svm"
"catch22",22,0.801666666666667,8,"SemgHandGenderCh2","svm"
"feasts",37,0.806666666666667,8,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.876666666666667,8,"SemgHandGenderCh2","svm"
"TSFEL",143,0.843333333333333,8,"SemgHandGenderCh2","svm"
"Kats",35,0.788333333333333,8,"SemgHandGenderCh2","svm"
"tsfresh",730,0.898333333333333,8,"SemgHandGenderCh2","svm"
"timegp",6,0.731666666666667,8,"SemgHandGenderCh2","svm"
"catch22",22,0.823333333333333,9,"SemgHandGenderCh2","svm"
"feasts",38,0.826666666666667,9,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.891666666666667,9,"SemgHandGenderCh2","svm"
"TSFEL",144,0.833333333333333,9,"SemgHandGenderCh2","svm"
"Kats",35,0.781666666666667,9,"SemgHandGenderCh2","svm"
"tsfresh",736,0.885,9,"SemgHandGenderCh2","svm"
"timegp",6,0.728333333333333,9,"SemgHandGenderCh2","svm"
"catch22",22,0.796666666666667,10,"SemgHandGenderCh2","svm"
"feasts",38,0.803333333333333,10,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.845,10,"SemgHandGenderCh2","svm"
"TSFEL",144,0.851666666666667,10,"SemgHandGenderCh2","svm"
"Kats",35,0.778333333333333,10,"SemgHandGenderCh2","svm"
"tsfresh",736,0.87,10,"SemgHandGenderCh2","svm"
"timegp",6,0.738333333333333,10,"SemgHandGenderCh2","svm"
"catch22",22,0.808333333333333,11,"SemgHandGenderCh2","svm"
"feasts",38,0.811666666666667,11,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.848333333333333,11,"SemgHandGenderCh2","svm"
"TSFEL",144,0.838333333333333,11,"SemgHandGenderCh2","svm"
"Kats",35,0.803333333333333,11,"SemgHandGenderCh2","svm"
"tsfresh",736,0.891666666666667,11,"SemgHandGenderCh2","svm"
"timegp",6,0.733333333333333,11,"SemgHandGenderCh2","svm"
"catch22",22,0.835,12,"SemgHandGenderCh2","svm"
"feasts",38,0.81,12,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.866666666666667,12,"SemgHandGenderCh2","svm"
"TSFEL",144,0.841666666666667,12,"SemgHandGenderCh2","svm"
"Kats",35,0.81,12,"SemgHandGenderCh2","svm"
"tsfresh",736,0.888333333333333,12,"SemgHandGenderCh2","svm"
"timegp",6,0.725,12,"SemgHandGenderCh2","svm"
"catch22",22,0.776666666666667,13,"SemgHandGenderCh2","svm"
"feasts",38,0.785,13,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.876666666666667,13,"SemgHandGenderCh2","svm"
"TSFEL",144,0.853333333333333,13,"SemgHandGenderCh2","svm"
"Kats",35,0.771666666666667,13,"SemgHandGenderCh2","svm"
"tsfresh",736,0.895,13,"SemgHandGenderCh2","svm"
"timegp",6,0.721666666666667,13,"SemgHandGenderCh2","svm"
"catch22",22,0.798333333333333,14,"SemgHandGenderCh2","svm"
"feasts",38,0.81,14,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.87,14,"SemgHandGenderCh2","svm"
"TSFEL",144,0.843333333333333,14,"SemgHandGenderCh2","svm"
"Kats",35,0.791666666666667,14,"SemgHandGenderCh2","svm"
"tsfresh",736,0.906666666666667,14,"SemgHandGenderCh2","svm"
"timegp",6,0.718333333333333,14,"SemgHandGenderCh2","svm"
"catch22",22,0.82,15,"SemgHandGenderCh2","svm"
"feasts",38,0.826666666666667,15,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.886666666666667,15,"SemgHandGenderCh2","svm"
"TSFEL",144,0.848333333333333,15,"SemgHandGenderCh2","svm"
"Kats",35,0.803333333333333,15,"SemgHandGenderCh2","svm"
"tsfresh",736,0.883333333333333,15,"SemgHandGenderCh2","svm"
"timegp",6,0.726666666666667,15,"SemgHandGenderCh2","svm"
"catch22",22,0.801666666666667,16,"SemgHandGenderCh2","svm"
"feasts",38,0.798333333333333,16,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.886666666666667,16,"SemgHandGenderCh2","svm"
"TSFEL",144,0.81,16,"SemgHandGenderCh2","svm"
"Kats",35,0.796666666666667,16,"SemgHandGenderCh2","svm"
"tsfresh",736,0.856666666666667,16,"SemgHandGenderCh2","svm"
"timegp",6,0.708333333333333,16,"SemgHandGenderCh2","svm"
"catch22",22,0.781666666666667,17,"SemgHandGenderCh2","svm"
"feasts",38,0.788333333333333,17,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.9,17,"SemgHandGenderCh2","svm"
"TSFEL",144,0.811666666666667,17,"SemgHandGenderCh2","svm"
"Kats",35,0.771666666666667,17,"SemgHandGenderCh2","svm"
"tsfresh",736,0.906666666666667,17,"SemgHandGenderCh2","svm"
"timegp",6,0.75,17,"SemgHandGenderCh2","svm"
"catch22",22,0.795,18,"SemgHandGenderCh2","svm"
"feasts",38,0.808333333333333,18,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.873333333333333,18,"SemgHandGenderCh2","svm"
"TSFEL",144,0.841666666666667,18,"SemgHandGenderCh2","svm"
"Kats",35,0.81,18,"SemgHandGenderCh2","svm"
"tsfresh",736,0.905,18,"SemgHandGenderCh2","svm"
"timegp",6,0.723333333333333,18,"SemgHandGenderCh2","svm"
"catch22",22,0.813333333333333,19,"SemgHandGenderCh2","svm"
"feasts",38,0.78,19,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.871666666666667,19,"SemgHandGenderCh2","svm"
"TSFEL",144,0.823333333333333,19,"SemgHandGenderCh2","svm"
"Kats",35,0.795,19,"SemgHandGenderCh2","svm"
"tsfresh",736,0.903333333333333,19,"SemgHandGenderCh2","svm"
"timegp",6,0.736666666666667,19,"SemgHandGenderCh2","svm"
"catch22",22,0.831666666666667,20,"SemgHandGenderCh2","svm"
"feasts",38,0.815,20,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.875,20,"SemgHandGenderCh2","svm"
"TSFEL",144,0.845,20,"SemgHandGenderCh2","svm"
"Kats",35,0.815,20,"SemgHandGenderCh2","svm"
"tsfresh",736,0.886666666666667,20,"SemgHandGenderCh2","svm"
"timegp",6,0.725,20,"SemgHandGenderCh2","svm"
"catch22",22,0.793333333333333,21,"SemgHandGenderCh2","svm"
"feasts",38,0.796666666666667,21,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.868333333333333,21,"SemgHandGenderCh2","svm"
"TSFEL",144,0.856666666666667,21,"SemgHandGenderCh2","svm"
"Kats",35,0.77,21,"SemgHandGenderCh2","svm"
"tsfresh",736,0.883333333333333,21,"SemgHandGenderCh2","svm"
"timegp",6,0.711666666666667,21,"SemgHandGenderCh2","svm"
"catch22",22,0.823333333333333,22,"SemgHandGenderCh2","svm"
"feasts",38,0.82,22,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.868333333333333,22,"SemgHandGenderCh2","svm"
"TSFEL",144,0.871666666666667,22,"SemgHandGenderCh2","svm"
"Kats",35,0.81,22,"SemgHandGenderCh2","svm"
"tsfresh",736,0.875,22,"SemgHandGenderCh2","svm"
"timegp",6,0.708333333333333,22,"SemgHandGenderCh2","svm"
"catch22",22,0.806666666666667,23,"SemgHandGenderCh2","svm"
"feasts",38,0.801666666666667,23,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.876666666666667,23,"SemgHandGenderCh2","svm"
"TSFEL",144,0.816666666666667,23,"SemgHandGenderCh2","svm"
"Kats",35,0.781666666666667,23,"SemgHandGenderCh2","svm"
"tsfresh",736,0.89,23,"SemgHandGenderCh2","svm"
"timegp",6,0.658333333333333,23,"SemgHandGenderCh2","svm"
"catch22",22,0.805,24,"SemgHandGenderCh2","svm"
"feasts",38,0.796666666666667,24,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.856666666666667,24,"SemgHandGenderCh2","svm"
"TSFEL",144,0.825,24,"SemgHandGenderCh2","svm"
"Kats",35,0.746666666666667,24,"SemgHandGenderCh2","svm"
"tsfresh",736,0.888333333333333,24,"SemgHandGenderCh2","svm"
"timegp",6,0.681666666666667,24,"SemgHandGenderCh2","svm"
"catch22",22,0.84,25,"SemgHandGenderCh2","svm"
"feasts",38,0.808333333333333,25,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.886666666666667,25,"SemgHandGenderCh2","svm"
"TSFEL",144,0.851666666666667,25,"SemgHandGenderCh2","svm"
"Kats",35,0.81,25,"SemgHandGenderCh2","svm"
"tsfresh",736,0.873333333333333,25,"SemgHandGenderCh2","svm"
"timegp",6,0.726666666666667,25,"SemgHandGenderCh2","svm"
"catch22",22,0.815,26,"SemgHandGenderCh2","svm"
"feasts",38,0.816666666666667,26,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.885,26,"SemgHandGenderCh2","svm"
"TSFEL",144,0.871666666666667,26,"SemgHandGenderCh2","svm"
"Kats",35,0.795,26,"SemgHandGenderCh2","svm"
"tsfresh",736,0.881666666666667,26,"SemgHandGenderCh2","svm"
"timegp",6,0.716666666666667,26,"SemgHandGenderCh2","svm"
"catch22",22,0.8,27,"SemgHandGenderCh2","svm"
"feasts",38,0.791666666666667,27,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.875,27,"SemgHandGenderCh2","svm"
"TSFEL",144,0.855,27,"SemgHandGenderCh2","svm"
"Kats",35,0.788333333333333,27,"SemgHandGenderCh2","svm"
"tsfresh",736,0.891666666666667,27,"SemgHandGenderCh2","svm"
"timegp",6,0.718333333333333,27,"SemgHandGenderCh2","svm"
"catch22",22,0.795,28,"SemgHandGenderCh2","svm"
"feasts",38,0.78,28,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.876666666666667,28,"SemgHandGenderCh2","svm"
"TSFEL",144,0.808333333333333,28,"SemgHandGenderCh2","svm"
"Kats",35,0.768333333333333,28,"SemgHandGenderCh2","svm"
"tsfresh",736,0.873333333333333,28,"SemgHandGenderCh2","svm"
"timegp",6,0.73,28,"SemgHandGenderCh2","svm"
"catch22",22,0.811666666666667,29,"SemgHandGenderCh2","svm"
"feasts",38,0.79,29,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.87,29,"SemgHandGenderCh2","svm"
"TSFEL",144,0.806666666666667,29,"SemgHandGenderCh2","svm"
"Kats",35,0.771666666666667,29,"SemgHandGenderCh2","svm"
"tsfresh",736,0.875,29,"SemgHandGenderCh2","svm"
"timegp",6,0.741666666666667,29,"SemgHandGenderCh2","svm"
"catch22",22,0.785,30,"SemgHandGenderCh2","svm"
"feasts",38,0.825,30,"SemgHandGenderCh2","svm"
"tsfeatures",57,0.871666666666667,30,"SemgHandGenderCh2","svm"
"TSFEL",144,0.838333333333333,30,"SemgHandGenderCh2","svm"
"Kats",35,0.803333333333333,30,"SemgHandGenderCh2","svm"
"tsfresh",736,0.875,30,"SemgHandGenderCh2","svm"
"timegp",6,0.745,30,"SemgHandGenderCh2","svm"
